nome,tipo,planeta,estrutura_origem,usa_raridade,uso,status,notas
Trigo Lunar,Matéria-prima (cultivo),1,Campo de Cultivo,A definir,Alimento básico; venda; ingrediente de processamento,Nome provisório,Exemplo original do Protótipo 0 (loop idle)
Fibra Estelar,Matéria-prima (cultivo avançado),1,Campo de Cultivo,A definir,Ingrediente de processamento avançado,Nome provisório,"Exemplo original do Protótipo 0 (loop idle), crescimento mais lento"
Cedro Estelar,Matéria-prima (árvore),1,Área de Plantio de Árvores,Não (matéria-prima bruta),Base para processamento de madeira,Nome provisório,
Tábua Estelar,Processado (madeira),1,Estrutura de Processamento (Madeira),A definir,Construções,Nome provisório,
Lenha Estelar,Processado (madeira),1,Estrutura de Processamento (Madeira),A definir,Combustível/aquecimento inicial para o Planeta 4 (gelo),Nome provisório,Cria dependência Planeta 1 -> Planeta 4
Semente de Cedro Estelar,Semente,1,Estrutura de Processamento (Madeira) - chance média / Viveiro - sorteio de raridade / Loja - compra,"Sim, via Viveiro (ver 01-conceito.md); via processamento sai sem raridade sorteada",Replantio de árvores,Nome provisório,"Três fontes possíveis: processamento (chance média, sem raridade), Viveiro (raridade sorteada), Loja (compra garantida)"
Carvão Estelar,Processado (madeira) - combustível,1,Estrutura de Processamento (Madeira),A definir,Combustível para a Fundição do Planeta 2,Nome provisório,Cria dependência Planeta 1 -> Planeta 2 (fluxo inverso ao usual)
Pedra Ancestral,Matéria-prima (mineral bruto),1,Mina de Pedra,Não (matéria-prima bruta),Base para processamento de pedra,Nome provisório,
Bloco Ancestral,Processado (pedra),1,Estrutura de Processamento (Pedra),"Sim, a partir do Nível 7 da estrutura",Construções; proposto como material genérico de referência do Planeta 1,Nome provisório,Candidato a ser o material citado nas dependências de nível de outras estruturas
Cascalho Ancestral,Processado (pedra) - subproduto,1,Estrutura de Processamento (Pedra),A definir,Decoração; caminhos,Nome provisório,
Pedra Polida,Processado (pedra) - avançado,1,Estrutura de Processamento (Pedra),A definir,Construção/decoração de valor premium,Nome provisório,Liberado apenas no Nível 10 da estrutura
Graveto,Matéria-prima (coleta manual),1,Coleta manual no terreno (sem estrutura),Não (matéria-prima bruta),"Craft de ferramentas iniciais (Picareta, Machado); base de bootstrap",Nome provisório,"Disponível desde o início do jogo, sem depender de nenhuma estrutura"
Picareta,Ferramenta,1,Craft manual (Pedra Ancestral + Graveto),A definir,Aumenta velocidade/volume de coleta de Pedra Ancestral,Nome provisório,Primeira ferramenta do jogo — ver docs/estruturas/planeta-1/00-guia-bootstrap.md
Machado,Ferramenta,1,Craft manual (Pedra Ancestral + Graveto),A definir,Aumenta velocidade/volume de coleta de Cedro Estelar (árvores selvagens),Nome provisório,Ferramenta de bootstrap — ver docs/estruturas/planeta-1/00-guia-bootstrap.md
Foice de Pedra,Ferramenta,1,Craft manual (Pedra Ancestral + Graveto),A definir,Aumenta velocidade/volume de coleta de Trigo Lunar selvagem,Nome provisório,Ferramenta de bootstrap — ver docs/estruturas/planeta-1/00-guia-bootstrap.md
Ecos,Moeda,Todos,Venda de itens; overflow automático do Armazém Geral (ver docs/estruturas/planeta-1/armazem-geral.md),Não aplicável,"Moeda geral do jogo — compra de itens, reparo de drones, etc.",Nome provisório,"Moeda única do jogo, usada em todos os planetas"
